hombre	personas	D	etnia	Z	ocupado_jefe	ingreso_jefe_hogar
1.00		0.00	1.00	0,11923214	1.00	140,5
1.00		0.00	1.00	-0,329205334	1.00	80.00
0.00	11.00	0.00	0.00	0,686703742	1.00	67,5
0.00	6.00	0.00	0.00	-3,468771935	0.00	31.00
1.00	4.00	0.00	0.00	0,713352799	1.00	60,5
0.00	4.00	0.00	1.00	-1,882208228	1.00	86,27999878
1.00	6.00	0.00	0.00	-1,016821027	1.00	165.00
0.00	4.00	0.00	0.00	-0,58420825	0.00	38.00
1.00		0.00	1.00	-0,266993016	1.00	31,99959946
1.00		0.00	1.00	0,063630156	1.00	20,5
1.00	3.00	0.00	1.00	-1,976490378	1.00	62,5
0.00	8.00	0.00	0.00	-1,847137928	1.00	39,5
0.00	6.00	0.00	1.00	-1,696243525	1.00	85,30000305
0.00	10.00	0.00	0.00	-2,358625889	1.00	114,8000031
1.00	4.00	0.00	0.00	-1,996096969	0.00	99,5
0.00	2.00	0.00	1.00	-0,592507482	1.00	92.00
0.00	4.00	0.00	1.00	-1,531024575	1.00	103,5
1.00	4.00	0.00	0.00	-3,390474081	1.00	69.00
1.00		0.00	1.00	-0,003344906	1.00	100,5
0.00		0.00	1.00	-0,314228684	1.00	12.00
0.00	5.00	0.00	0.00	-1,95005393	0.00	92,87000275
0.00	5.00	0.00	1.00	-0,953025162	1.00	38.00
0.00	3.00	0.00	0.00	-1,892344952	1.00	83,5
0.00	9.00	0.00	1.00	-2,341233492	1.00	43.00
0.00	9.00	0.00	1.00	-1,867208719	0.00	51,15000153
1.00	6.00	0.00	0.00	-1,678259969	1.00	23.00
0.00	3.00	0.00	0.00	0,415428996	1.00	20,5
0.00	6.00	0.00	0.00	-1,348837018	1.00	184.00
0.00	4.00	0.00	0.00	-0,779701352	0.00	24.00
1.00	10.00	0.00	1.00	-1,461531639	1.00	93,30000305
0.00	5.00	0.00	0.00	-3,514508009	1.00	36.00
1.00	10.00	0.00	1.00	-1,08249557	1.00	88.00
1.00		0.00	1.00	0,399470478	1.00	60,5
1.00	4.00	0.00	1.00	-1,495435238	0.00	43,29999924
1.00	3.00	0.00	0.00	-1,133095026	1.00	43.00
1.00	4.00	0.00	1.00	-1,846440554	1.00	86,19999695
1.00		0.00	1.00	0,460467905	1.00	228,5
1.00	6.00	0.00	0.00	-1,939875007	1.00	19,5
0.00	5.00	0.00	0.00	0,124775201	1.00	99,5
0.00	4.00	0.00	0.00	0,566324294	1.00	189,6999969
0.00	3.00	0.00	0.00	-0,69926095	0.00	20.00
0.00	8.00	0.00	0.00	-1,869794965	1.00	0.00
0.00	3.00	0.00	1.00	-4,649670601	1.00	61.00
0.00	6.00	0.00	1.00	-3,012902498	1.00	19.00
0.00	7.00	0.00	0.00	0,835953593	1.00	154,1999969
1.00	5.00	0.00	0.00	-2,21121192	1.00	43.00
0.00	5.00	0.00	1.00	-1,020710588	0.00	64.00
1.00	8.00	0.00	0.00	-3,045790911	1.00	54.00
1.00	5.00	0.00	0.00	-1,644858956	1.00	89,5
1.00	4.00	0.00	1.00	-0,740868747	1.00	60.00
0.00	3.00	0.00	0.00	-0,390321106	1.00	70.00
0.00	3.00	0.00	0.00	-0,091148704	1.00	15.00
1.00	3.00	0.00	1.00	-1,978732586	1.00	58,47999954
0.00	4.00	0.00	0.00	-0,095297098	1.00	179,3999939
0.00	4.00	0.00	0.00	-0,161770895	1.00	61.00
0.00	6.00	0.00	0.00	-0,930125058	1.00	52.00
1.00	4.00	0.00	0.00	-0,138987094	1.00	30.00
1.00	4.00	0.00	1.00	-1,194210172	1.00	90.00
1.00	4.00	0.00	0.00	-0,133350089	1.00	50.00
0.00	6.00	0.00	1.00	-1,68567276	1.00	89,5
1.00	3.00	0.00	1.00	-1,010590434	1.00	55.00
0.00	6.00	0.00	0.00	1,154981017	0.00	63,86999893
0.00	3.00	0.00	1.00	-1,051258445	1.00	100.00
1.00	4.00	0.00	1.00	-0,380273521	0.00	34,40000153
0.00	9.00	0.00	0.00	-1,17996192	1.00	543,2000122
0.00	3.00	0.00	1.00	-4,038841248	1.00	19.00
1.00	6.00	0.00	0.00	1,53550899	1.00	105,5
1.00	5.00	0.00	1.00	-1,131687522	1.00	44.00
0.00	4.00	0.00	0.00	-1,265383005	0.00	24.00
1.00	7.00	0.00	0.00	-1,943540931	0.00	65,5
0.00	4.00	0.00	0.00	0,138709709	1.00	30,5
1.00		0.00	1.00	0,140783057	1.00	122,9000015
0.00	5.00	0.00	1.00	-0,840830386	1.00	30.00
0.00	5.00	0.00	0.00	-0,865452051	0.00	51,59999847
1.00	6.00	0.00	1.00	-0,591727197	1.00	0.00
1.00		0.00	1.00	0,721028745	1.00	14,5
1.00	10.00	0.00	0.00	-1,029651999	1.00	150.00
0.00	3.00	0.00	0.00	-1,009303927	1.00	66.00
1.00	4.00	0.00	0.00	-1,861562014	1.00	69,5
0.00	3.00	0.00	1.00	-1,379876256	1.00	95,59999847
0.00	3.00	0.00	0.00	-0,217598692	1.00	20.00
1.00	9.00	0.00	1.00	-1,706821442	1.00	123,3000031
1.00	3.00	0.00	0.00	-1,884464979	1.00	43,5
1.00	5.00	0.00	0.00	0,518481135	0.00	52,70000076
0.00	8.00	0.00	0.00	-1,390679955	1.00	73,40000153
1.00	4.00	0.00	1.00	-0,863399267	0.00	190.00
1.00	6.00	0.00	1.00	-1,16838038	1.00	86,59999847
0.00	4.00	0.00	1.00	-1,575044751	1.00	236.00
0.00	6.00	0.00	0.00	-1,16572392	1.00	10.00
0.00	7.00	0.00	0.00	0,947307348	0.00	132,5
1.00	11.00	0.00	1.00	-3,107637882	1.00	148.00
1.00	8.00	0.00	1.00	-1,290122271	0.00	191.00
0.00	7.00	0.00	0.00	1,90298903	1.00	144,1000061
1.00	7.00	0.00	0.00	0,740589201	1.00	70,16999817
1.00	4.00	0.00	0.00	-1,511577964	1.00	50.00
0.00	4.00	0.00	1.00	-1,314564705	0.00	29,23999977
0.00	3.00	0.00	0.00	-2,155514956	0.00	29.00
0.00		0.00	1.00	0,071016118	1.00	0,5
1.00	5.00	0.00	0.00	-0,865586758	0.00	26.00
1.00	3.00	0.00	1.00	-0,834401727	1.00	74.00
1.00		0.00	1.00	0,710992992	1.00	30,5
0.00	9.00	0.00	1.00	-1,553097844	1.00	29,5
1.00	5.00	0.00	1.00	-1,665113211	1.00	44,5
1.00	3.00	0.00	0.00	-0,350556612	0.00	12.00
0.00	7.00	0.00	1.00	-5,504454136	1.00	9.00
1.00		0.00	1.00	-0,338226616	1.00	86,59999847
1.00	2.00	0.00	0.00	-0,0062705	1.00	0,5
0.00	10.00	0.00	0.00	-0,51795125	1.00	182.00
1.00	3.00	0.00	1.00	-0,740063429	1.00	95.00
0.00		0.00	1.00	0,557441175	1.00	100,5
0.00	2.00	0.00	0.00	-0,307097614	1.00	20.00
1.00	3.00	0.00	1.00	-1,01429379	0.00	50.00
0.00	8.00	0.00	1.00	-0,786864758	1.00	68,30000305
1.00	7.00	0.00	0.00	-2,751575947	0.00	190,4799957
1.00	5.00	0.00	1.00	-1,966318965	1.00	99,5
0.00	4.00	0.00	0.00	-1,737363935	0.00	199,4996033
0.00	6.00	0.00	1.00	-1,018165588	1.00	0.00
0.00	11.00	0.00	0.00	-1,022186995	1.00	90.00
1.00		0.00	1.00	-0,019545581	0.00	88,5
0.00	4.00	0.00	0.00	-1,914482951	1.00	0.00
1.00	7.00	0.00	0.00	-1,638461947	1.00	76,05000305
1.00	6.00	0.00	0.00	-0,224208996	1.00	25.00
1.00	4.00	0.00	0.00	-0,805542052	1.00	20.00
1.00	2.00	0.00	0.00	-0,13251999	1.00	120.00
1.00	5.00	0.00	1.00	-1,539030075	0.00	119,5
0.00		0.00	1.00	0,178795993	1.00	208,5
1.00		0.00	1.00	1,166024327	1.00	0,5
1.00	8.00	0.00	0.00	-1,616883993	1.00	67,5
1.00	9.00	0.00	1.00	-1,531877637	1.00	150,6000061
1.00	3.00	0.00	0.00	0,304062992	0.00	44,5
1.00		0.00	1.00	4,463601112	1.00	89,09999847
1.00	10.00	0.00	1.00	-2,153696299	1.00	29.00
0.00	2.00	0.00	0.00	1,451374054	1.00	50,5
1.00	8.00	0.00	1.00	-1,33409524	1.00	173,1999969
1.00	7.00	0.00	0.00	-1,05003798	1.00	133.00
0.00	7.00	0.00	0.00	-1,055927992	1.00	117,8000031
0.00	4.00	0.00	0.00	-1,176530957	0.00	0.00
1.00	5.00	0.00	0.00	1,396471024	1.00	122,5
1.00	6.00	0.00	0.00	0,988991797	1.00	80,5
0.00		0.00	1.00	-0,20230867	1.00	0.00
1.00	6.00	0.00	1.00	-1,986257195	1.00	49,5
0.00	6.00	0.00	1.00	-0,711052895	1.00	70.00
0.00	8.00	0.00	0.00	-1,813333988	0.00	14,5
0.00	4.00	0.00	1.00	-1,068303227	1.00	30.00
1.00	14.00	0.00	1.00	-0,944152594	0.00	79,19999695
1.00	5.00	0.00	0.00	-0,808232903	1.00	102.00
1.00	4.00	0.00	1.00	-1,179337978	1.00	43,29999924
0.00	4.00	0.00	0.00	-2,540860891	1.00	42.00
0.00	5.00	0.00	0.00	-0,0115251	0.00	9,800000191
0.00	8.00	0.00	1.00	-0,627087235	1.00	46,29999924
0.00		0.00	1.00	2,545226097	1.00	5,300000191
0.00	4.00	0.00	0.00	-1,128252983	0.00	72.00
0.00	4.00	0.00	0.00	-0,5722844	1.00	86.00
0.00	3.00	0.00	1.00	-1,147556186	0.00	86.00
1.00	5.00	0.00	1.00	-0,557985246	1.00	20.00
0.00	5.00	0.00	0.00	-1,392409921	1.00	16.00
1.00	8.00	0.00	1.00	-1,750675082	1.00	41.00
0.00	6.00	0.00	0.00	0,398553401	1.00	180,5
0.00	7.00	0.00	0.00	0,510017097	0.00	130,5
1.00	6.00	0.00	1.00	-0,445635229	1.00	91,40000153
1.00	5.00	0.00	1.00	-1,989602208	1.00	87,09999847
1.00	5.00	0.00	0.00	-3,184861898	1.00	0.00
0.00	2.00	0.00	0.00	-1,462571979	0.00	45.00
1.00	5.00	0.00	0.00	-0,778139055	0.00	113,8000031
0.00	4.00	0.00	0.00	-1,138190985	1.00	43,29999924
0.00	4.00	0.00	0.00	0,15365231	1.00	38,5
0.00	5.00	0.00	0.00	1,295951962	0.00	40,5
1.00	4.00	0.00	0.00	-0,715486407	1.00	74.00
0.00	6.00	0.00	0.00	0,216353312	1.00	87,30000305
1.00		0.00	1.00	0,527001798	0.00	20,5
0.00	5.00	0.00	1.00	-2,106321812	1.00	32.00
0.00	4.00	0.00	0.00	-0,271520108	1.00	97,5
1.00	7.00	0.00	0.00	-1,910472989	1.00	115,5
0.00	4.00	0.00	0.00	-3,055454969	0.00	42,29999924
0.00	4.00	0.00	1.00	-1,554028511	1.00	60,5
0.00	3.00	0.00	0.00	2,085628033	1.00	19,70000076
1.00	6.00	0.00	0.00	-0,980015993	1.00	41,5
0.00	6.00	0.00	0.00	-2,120243073	0.00	19.00
1.00	5.00	0.00	1.00	-1,829967022	0.00	9,5
0.00	3.00	0.00	0.00	-2,520358086	0.00	56.00
0.00		0.00	1.00	1,431402564	1.00	44,5
0.00	5.00	0.00	1.00	-1,957439542	0.00	41,5
0.00	5.00	0.00	1.00	-0,993651509	1.00	54,40000153
0.00		0.00	1.00	0,185175091	1.00	80,5
1.00	7.00	0.00	1.00	-1,761585355	0.00	153,5
0.00		0.00	1.00	0,048341215	1.00	40,5
0.00	2.00	0.00	0.00	-1,272570968	0.00	54.00
0.00	3.00	0.00	1.00	-1,087855935	1.00	43,70000076
1.00	4.00	0.00	0.00	-0,919328451	1.00	170.00
1.00	5.00	0.00	0.00	-0,882646859	1.00	82,76000214
1.00	4.00	0.00	1.00	-1,699277639	0.00	61,70000076
1.00		0.00	1.00	0,53975898	1.00	48,70000076
0.00	8.00	0.00	0.00	-0,428006321	1.00	116.00
0.00	6.00	0.00	0.00	-2,314182997	0.00	42,29999924
1.00		0.00	1.00	0,104858913	1.00	0,5
0.00	4.00	0.00	0.00	-0,328279823	0.00	0.00
1.00	3.00	0.00	1.00	-1,980413437	1.00	42,79999924
0.00	4.00	0.00	1.00	-1,897817135	1.00	67,5
0.00	7.00	0.00	1.00	-1,692997217	1.00	899,5
0.00	5.00	0.00	0.00	-1,481739998	1.00	60.00
1.00	4.00	0.00	0.00	0,0259775	1.00	62,5
0.00		0.00	1.00	2,86685133	1.00	310,5
1.00	3.00	0.00	1.00	-1,672075629	1.00	0.00
0.00	2.00	0.00	0.00	-1,386794925	1.00	8.00
0.00	5.00	0.00	0.00	0,236479208	1.00	213,8000031
0.00	5.00	0.00	1.00	-0,408511162	1.00	47.00
0.00	5.00	0.00	1.00	-1,129593968	0.00	45.00
1.00	4.00	0.00	1.00	-1,059747219	1.00	12.00
0.00	4.00	0.00	0.00	-1,148906946	0.00	45,40000153
0.00	7.00	0.00	1.00	-2,77799964	1.00	89.00
0.00	2.00	0.00	1.00	-0,762736678	0.00	9.00
1.00	8.00	0.00	0.00	-1,991104007	1.00	90,55999756
1.00	3.00	0.00	0.00	4,144609928	1.00	0,5
1.00	4.00	0.00	1.00	-3,095825195	1.00	49.00
1.00	3.00	0.00	1.00	-1,600061536	1.00	5,5
0.00		0.00	1.00	-0,193641931	1.00	10.00
1.00		0.00	1.00	0,119396545	1.00	50,5
0.00	4.00	0.00	0.00	-0,478785723	1.00	6.00
1.00	7.00	0.00	1.00	-0,719873786	1.00	40.00
0.00	6.00	0.00	1.00	-1,211710572	1.00	107,5
1.00	7.00	0.00	0.00	-2,612843037	1.00	60.00
1.00	5.00	0.00	0.00	-2,944640875	1.00	90.00
1.00	3.00	0.00	1.00	-1,762127519	1.00	104,5
1.00		0.00	1.00	0,653729081	1.00	87,09999847
1.00	4.00	0.00	1.00	-1,600458026	0.00	24,5
1.00	10.00	0.00	1.00	-1,056343079	1.00	5.00
0.00	7.00	0.00	0.00	-1,24742496	1.00	120.00
1.00	6.00	0.00	1.00	-1,56738162	1.00	85,5
1.00	4.00	0.00	1.00	-2,301976919	1.00	0.00
0.00	5.00	0.00	0.00	-0,888930798	1.00	115.00
1.00	6.00	0.00	1.00	-0,385689676	0.00	39.00
1.00		0.00	1.00	0,941588521	1.00	87,09999847
0.00	2.00	0.00	1.00	-0,969223201	1.00	0.00
0.00	4.00	0.00	0.00	-2,327301979	1.00	86,59999847
1.00	4.00	0.00	0.00	4,51098299	1.00	44,5
0.00		0.00	1.00	-0,245786816	1.00	65.00
0.00	6.00	0.00	1.00	-0,545323491	0.00	132,1999969
1.00		0.00	1.00	-0,243900761	1.00	86,59999847
1.00	6.00	0.00	1.00	-1,13074851	1.00	44,40000153
0.00	5.00	0.00	1.00	-1,587952256	1.00	1,5
0.00		0.00	1.00	2,072941303	0.00	90,5
1.00	4.00	0.00	1.00	-2,012031794	1.00	39,5
0.00	4.00	0.00	0.00	-0,293965101	0.00	43,20000076
1.00	3.00	0.00	0.00	1,466169	0.00	48,5
0.00	4.00	0.00	0.00	0,230379105	1.00	43,5
0.00	3.00	0.00	0.00	-1,237689972	0.00	86,59999847
0.00	4.00	0.00	0.00	-1,354598999	1.00	0.00
1.00	6.00	0.00	0.00	-1,677592993	1.00	82,5
1.00	6.00	0.00	1.00	-1,699617386	1.00	274,7000122
1.00	3.00	0.00	1.00	-4,193489075	0.00	105.00
